ETF代码,ADX值,MACD金叉,RSI值,综合趋势评分
588000,51.58,是,87.21,107.2
588200,56.47,是,85.65,105.7
159205,60.16,是,80.68,100.7
510500,61.2,是,78.99,99.0
510300,45.88,是,81.74,98.4
511880,79.28,是,75.47,95.5
510050,41.98,是,76.49,90.1
515790,39.38,是,73.14,84.6
516160,34.88,是,71.72,79.6
520580,27.91,是,62.34,64.7
515220,27.8,是,56.38,58.6
513520,26.52,是,56.42,57.6
513500,31.35,是,50.17,55.3
513130,16.87,是,58.46,52.0
512890,14.9,是,56.21,48.1
513100,21.92,是,48.93,47.5
513080,14.71,是,55.22,47.0
159985,13.33,是,48.67,40.7
511090,41.28,否,27.92,33.0
511010,24.53,否,37.26,19.6
501018,12.87,否,42.91,10.3
159980,9.68,否,46.73,7.7
513030,9.42,否,46.32,7.5
518880,6.97,否,45.42,5.6
